,percent_time_idle,hourly_wage
1,54.1273377499,30.2616864752
3,21.2253829322,45.1128016298
6,22.3212258797,44.240694352
7,22.0444291803,45.2321978324
8,8.56428456203,61.848525068
11,7.02226021619,54.6211783707
14,18.8194560786,52.1642393747
17,81.1320754717,22.1480286272
19,18.0833486323,57.6688718244
22,5.344332589,55.7156234675
26,45.0728625293,34.3586164729
27,11.7391304348,76.4149925037
29,37.0835753128,40.1210000564
30,48.7213550316,31.3076892772
31,11.5233230048,53.7361435927
32,75.5128492734,14.8224136642
33,21.3912112685,48.4903292412
34,22.8023867502,49.4640285672
35,39.0710382514,53.2938383267
36,14.6050670641,44.2686069957
40,5.99476254512,64.6382038549
43,54.4829821718,38.0595227184
44,60.8695652174,18.9637781109
45,6.34339688983,56.4150937365
46,53.6915238536,58.7218987079
50,10.7944459785,55.293293198
53,11.3392288645,59.3381242453
57,9.09090909091,59.1655219731
59,13.1519476658,55.643913993
61,66.2222222222,20.9988781609
64,19.1780821918,50.4054497604
65,9.45661655293,57.7905573613
66,33.8011790358,43.5873809199
69,50.5403458213,31.8161611845
70,46.6021825397,30.8589901478
71,26.7514411218,49.8778081576
73,34.9211250933,38.8301045957
77,15.2790782107,54.9899390969
80,43.3134582624,36.3321077366
82,54.0884718499,29.7300138671
83,64.6318289786,18.1761077893
84,6.87726095637,62.1940555806
85,14.8706896552,59.460205113
88,6.88638377881,56.7571132061
90,7.0663135443,51.3531008085
91,61.9402985075,21.8856870818
92,43.3358720487,34.29794259
93,17.0657732322,53.1413957278
94,10.8473117024,54.8629296696
100,8.16563628065,62.1560129856
102,7.35121181701,55.7592853222
103,64.785338785,23.4114566549
106,15.3957363866,52.6691220638
109,26.875,39.0247758621
118,54.1387024609,27.2088312891
123,47.3782771536,28.8029755909
124,6.0609871718,60.8488431132
125,7.57655434651,72.104900343
130,50.3067484663,36.1519103025
132,12.0805966826,51.3956461823
133,16.7569893546,51.4296408805
135,61.6276409122,30.2617807106
138,7.71015676483,58.6143935856
139,37.7551020408,33.5849683322
141,16.8677702974,50.0298834874
145,18.6186790737,59.0539015823
146,47.1698113208,38.0701626545
147,14.1996848267,51.4870592619
150,43.5024752475,33.6976741209
152,57.9247434436,26.1607030236
153,31.4285714286,36.82191133
154,10.4731861199,55.8727914096
155,27.5032789234,53.9855997209
156,13.5298008971,53.8152091788
157,5.96640132587,59.8941176776
158,13.6035586219,54.9186710262
159,9.57763236169,55.2961398183
166,42.2764227642,39.3674011775
167,35.956029063,35.3183933576
169,46.6666666667,31.4653156499
171,7.05244122966,55.4648724824
174,19.7018762102,41.8326261187
179,36.1746361746,41.5804860563
181,7.87642848173,58.7642432457
185,9.375,51.7171551724
186,30.8810117347,42.4568949793
187,57.9144198991,26.8942124867
188,62.6096491228,23.9814700544
191,31.0408921933,43.796938854
194,38.9455782313,38.4535819845
195,27.5810696401,47.811389818
196,38.2914847162,33.0871856648
200,20.0109289617,44.9944239683
201,11.1666832436,49.3349632605
204,33.963997061,43.7891003066
208,7.14797249984,57.6149867965
209,24.6050882214,53.5926641092
212,5.53191489362,53.0153283723
213,49.4423791822,33.8637508012
216,36.1356247097,37.7443579929
218,7.27202344744,51.3201060572
220,49.6368199357,27.7700000648
222,10.8396081828,53.7883608339
223,6.27098173103,54.3051591816
228,10.4727921499,45.3921806269
229,6.63081232493,56.5715954796
230,15.5263157895,54.4942867514
233,10.8635755333,58.5001588004
236,28.5714285714,57.5505812808
237,6.97649358846,72.8318794991
240,29.9519120678,52.4841641465
241,67.7608522966,19.4895275599
244,19.3158063384,52.5083161762
246,43.0910365038,35.388088653
250,8.59264803247,51.6820218953
251,48.6590038314,28.7393420531
252,24.8098859316,45.1441628425
259,5.83371897858,59.7946053807
263,11.3513513514,57.261248835
266,9.7124201167,54.7527780705
269,6.68948350965,58.2269703667
272,42.3913043478,45.6767316342
275,7.5920623951,61.4310566111
276,6.50408891369,66.4216575478
277,6.22534083762,62.3519540436
283,19.8356840034,45.7043535092
286,24.3370414913,46.8366889916
287,65.5672823219,19.1350050041
288,64.3335747917,23.3627496284
290,35.6525664173,39.1980646252
296,20.4294163024,46.9320085577
298,8.83443139169,54.3394857457
300,35.795702364,38.9782130249
301,21.471978393,56.3350951128
302,66.0027770546,19.9727082567
304,12.7230111678,64.1207928229
305,27.3390711141,45.125883336
307,8.60396457191,66.5907590279
309,21.7681612644,54.3236567492
313,5.28501017893,55.3087376273
315,5.00074276198,57.9704270194
318,18.8178896908,48.6092304003
319,14.7469458988,52.5677595234
320,15.7706991347,57.1474741396
321,11.4863481927,56.2894552969
322,6.79909706546,57.1124527127
325,49.0956072351,30.084854317
326,7.5012635107,56.2778029682
327,17.0250610375,51.9275686457
328,21.4683736322,49.8132083897
331,6.39828070532,63.8691902906
333,18.9601159583,49.1631116089
334,68.9873089873,14.563588136
335,42.5068119891,33.2880766701
337,46.7848474608,30.3353225535
340,20.9306102562,46.6578731829
341,7.35548632745,54.8357933183
342,17.3085009849,46.4478706135
